N,P,K,Temparature,Humidity,Crop,Moisture,Soil Type,Fertilizer Name
10,9,0,27.83,49.73,Millets,58.42,Clayey,28-28
19,17,0,22.65,53.84,Sugarcane,38.27,Sandy,10-26-26
10,16,12,30.17,60.55,Sugarcane,43.86,Clayey,17-17-17
11,35,2,34.6,69.2,Millets,49.03,Clayey,10-26-26
10,41,0,24.45,57.16,Barley,37.8,Black,14-35-14
11,26,12,26.81,59.31,Oil seeds,70,Red,DAP
13,9,0,26.37,62.64,Ground Nuts,41.83,Clayey,28-28
20,22,2,36.73,55.27,Sugarcane,32.64,Loamy,Urea
5,29,6,28.61,53.73,Millets,50.17,Clayey,DAP
8,36,1,33.97,70.45,Sugarcane,35.84,Sandy,Urea
25,21,0,31.01,70.62,Pulses,28.39,Sandy,DAP
12,17,0,32.51,57.48,Sugarcane,30.67,Sandy,28-28
40,0,1,37.75,55.56,Tobacco,50.84,Red,10-26-26
19,24,3,29.18,45.12,Ground Nuts,49.86,Clayey,20-20
41,4,0,39.61,73.34,Oil seeds,50.25,Sandy,Urea
33,0,0,28.4,58.17,Paddy,39.15,Red,10-26-26
26,26,0,34.28,67.15,Paddy,39.35,Red,14-35-14
15,12,13,31.35,59.91,Sugarcane,24.9,Black,28-28
34,0,0,32.56,55.34,Millets,46.86,Sandy,14-35-14
26,19,3,32.1,57.13,Pulses,37.58,Clayey,14-35-14
8,25,4,34.65,63.66,Millets,47.3,Clayey,DAP
40,4,0,30.12,51.7,Millets,31.85,Loamy,20-20
7,29,11,37.03,72.04,Ground Nuts,29.53,Loamy,28-28
40,0,0,30.58,56.52,Tobacco,48.44,Sandy,Urea
24,19,4,31.32,56.57,Tobacco,40.22,Sandy,20-20
39,0,0,33.03,66.07,Cotton,33.81,Red,10-26-26
40,0,0,32.53,62.34,Sugarcane,30.4,Clayey,10-26-26
12,7,12,26.58,42.83,Oil seeds,35.09,Sandy,17-17-17
41,1,2,29.13,73.22,Sugarcane,52.98,Black,20-20
37,0,2,28.23,56.74,Sugarcane,28.06,Clayey,20-20
4,9,3,36.2,64.43,Tobacco,57.43,Black,17-17-17
40,0,0,23.37,45.91,Sugarcane,67.84,Sandy,20-20
12,37,0,40,53.38,Oil seeds,47.05,Red,28-28
40,3,0,26.83,54.4,Sugarcane,41.76,Loamy,20-20
6,28,12,33.02,65.44,Wheat,50.47,Loamy,28-28
14,33,6,29.16,53.59,Pulses,60.85,Sandy,14-35-14
23,22,0,31.59,71.2,Paddy,27.7,Black,28-28
3,34,7,33.15,58.53,Sugarcane,32.29,Loamy,DAP
15,8,0,26.27,48.43,Maize,36.14,Loamy,17-17-17
42,0,0,35.1,61.71,Cotton,41.61,Red,Urea
15,36,0,24.59,47.16,Barley,21.81,Clayey,14-35-14
9,12,14,29.4,52.91,Pulses,43.18,Black,17-17-17
4,17,21,28.05,52.74,Pulses,43.39,Sandy,17-17-17
11,17,0,24.59,59,Ground Nuts,58.71,Black,10-26-26
11,36,10,27.09,50.45,Sugarcane,54.43,Loamy,Urea
9,13,0,26.63,61.32,Oil seeds,55.43,Black,14-35-14
11,12,0,29.32,66.28,Sugarcane,55.01,Loamy,10-26-26
8,14,9,25.75,55.81,Wheat,39.52,Clayey,DAP
42,0,3,29.62,61,Maize,31.32,Black,14-35-14
10,9,0,23.85,60.61,Oil seeds,56.48,Black,Urea
9,38,4,31.15,59.56,Cotton,27.97,Black,14-35-14
37,2,0,28.76,55.72,Millets,49.49,Black,10-26-26
26,15,0,31.33,67.83,Barley,68.19,Sandy,17-17-17
16,42,1,38.04,73.24,Barley,69.06,Loamy,20-20
11,33,13,29.22,57.29,Wheat,29.75,Clayey,14-35-14
26,25,3,30.67,66.76,Maize,52.32,Sandy,20-20
6,18,19,30.39,54.66,Barley,40.53,Black,DAP
40,0,0,24.04,44.61,Pulses,65.64,Loamy,Urea
12,39,0,24.04,54.47,Barley,46.62,Black,14-35-14
13,28,10,30.21,53.36,Oil seeds,54.28,Clayey,10-26-26
9,35,1,36.53,60.86,Ground Nuts,45.04,Black,28-28
21,16,1,23.6,54.64,Barley,32.83,Sandy,14-35-14
7,13,0,24.21,49.11,Tobacco,62.53,Clayey,Urea
14,43,4,28.95,45.51,Millets,33.51,Red,17-17-17
7,34,8,28.75,60.69,Barley,32.81,Black,28-28
17,35,0,29.43,60.47,Oil seeds,58.66,Clayey,17-17-17
9,32,3,35.11,67.01,Sugarcane,48.64,Black,14-35-14
13,18,19,33.94,62.53,Barley,22.09,Black,DAP
34,3,2,30.89,58.68,Maize,33.78,Sandy,DAP
25,23,2,33.14,60.57,Barley,35.83,Red,17-17-17
8,8,0,29.9,51.27,Oil seeds,49.74,Clayey,20-20
7,14,0,32.53,58.97,Ground Nuts,39.94,Red,10-26-26
11,14,2,25.9,47.84,Pulses,31.55,Sandy,14-35-14
5,29,6,34.13,59.23,Sugarcane,63.23,Loamy,Urea
13,7,0,30.53,65.11,Millets,53.95,Clayey,10-26-26
13,18,12,26,66.36,Sugarcane,26.96,Clayey,14-35-14
9,15,7,27.4,54.83,Cotton,69.04,Loamy,20-20
42,0,0,38.44,62.45,Ground Nuts,46.09,Red,17-17-17
10,45,0,29.37,62.57,Wheat,51.8,Red,28-28
26,24,2,29.54,67.83,Cotton,40.1,Loamy,Urea
30,4,1,31.31,48.85,Sugarcane,25.68,Black,28-28
14,41,0,32.51,67.8,Sugarcane,42.49,Black,17-17-17
31,0,4,28.24,48.4,Tobacco,33.28,Red,17-17-17
18,40,0,39.87,60.83,Barley,56.01,Clayey,DAP
14,15,9,22.54,44.49,Barley,64.67,Clayey,17-17-17
7,39,1,39.58,71.07,Pulses,39.53,Loamy,DAP
42,0,1,36.66,60.99,Wheat,46.13,Loamy,20-20
37,3,4,30.67,59.09,Sugarcane,30.58,Red,20-20
23,14,4,28.01,54.25,Maize,39.67,Red,28-28
7,17,13,25.01,43.66,Oil seeds,44.44,Loamy,20-20
45,3,0,29.26,60.28,Sugarcane,34.61,Loamy,28-28
35,0,4,35.64,76.74,Sugarcane,55.07,Loamy,DAP
14,34,2,25.85,59.28,Barley,48.78,Red,14-35-14
11,45,1,27.37,52.08,Maize,45.62,Clayey,28-28
13,36,0,26.57,53.34,Tobacco,23.1,Black,14-35-14
8,15,2,36.24,55.86,Ground Nuts,52.22,Sandy,DAP
18,45,0,39.58,56.11,Tobacco,42.44,Sandy,28-28
26,20,3,33.06,52.39,Millets,40.7,Loamy,Urea
17,17,1,32.03,57.94,Wheat,48.58,Clayey,17-17-17
14,17,12,26.9,57.31,Cotton,68.61,Black,14-35-14
6,16,0,33.47,59.46,Wheat,64.44,Sandy,28-28
8,41,0,40,62.39,Paddy,45.31,Clayey,Urea
12,17,12,31.98,60.7,Pulses,35.91,Loamy,Urea
15,13,0,32.84,62.04,Sugarcane,32.05,Sandy,17-17-17
11,17,0,27.96,54.06,Millets,47.23,Black,14-35-14
8,11,0,32.11,71.86,Barley,56.34,Clayey,20-20
11,40,4,37.68,71.36,Ground Nuts,32.07,Clayey,Urea
5,25,19,33.29,72.81,Tobacco,38.08,Red,10-26-26
13,10,0,24.24,45.3,Barley,68.56,Clayey,20-20
6,14,20,29.39,58.92,Wheat,32.77,Sandy,20-20
40,4,0,34.12,78.05,Oil seeds,45.51,Sandy,Urea
10,39,2,31.46,60.92,Barley,35.26,Black,20-20
43,0,0,25.84,46.79,Paddy,35.77,Clayey,10-26-26
22,23,0,30.65,57.55,Maize,43.54,Black,Urea
6,28,8,36.25,60.68,Sugarcane,42.98,Black,17-17-17
28,17,2,28.64,69.09,Cotton,42.89,Loamy,14-35-14
10,8,0,30.28,59.17,Pulses,40.52,Red,20-20
14,32,4,36.5,52.36,Paddy,24.4,Red,17-17-17
18,14,0,21.57,50.51,Wheat,47.72,Black,DAP
19,42,0,33.9,74.86,Wheat,57.18,Sandy,Urea
36,0,1,37.18,70.69,Sugarcane,58.98,Red,20-20
9,19,17,33.28,76.03,Barley,40.66,Clayey,28-28
10,15,17,29.85,58.07,Tobacco,42.1,Sandy,20-20
5,14,3,21.99,53.33,Oil seeds,61.68,Red,14-35-14
38,0,0,23.41,43.66,Pulses,20.16,Clayey,14-35-14
32,0,0,30.29,46.16,Paddy,40.66,Clayey,DAP
4,24,12,31.65,57,Oil seeds,56.28,Red,14-35-14
28,19,0,32.15,58.22,Cotton,58.63,Clayey,DAP
9,10,2,30.74,62.79,Tobacco,50.57,Sandy,Urea
44,0,0,22.28,49.97,Pulses,42.28,Clayey,Urea
10,19,13,29.84,42.95,Sugarcane,34.38,Clayey,14-35-14
18,37,1,36.14,74.84,Tobacco,61.48,Sandy,17-17-17
12,27,4,39.75,66.91,Barley,26.89,Black,10-26-26
26,16,0,30.44,68.6,Barley,66.26,Clayey,14-35-14
11,43,1,30.86,51.58,Millets,34.05,Red,20-20
22,18,1,30.22,65.07,Cotton,28.06,Red,Urea
12,33,4,30.08,52.22,Oil seeds,52.78,Red,28-28
16,35,0,37.77,72.96,Tobacco,37.53,Black,10-26-26
25,16,0,20.55,57.33,Wheat,36.43,Red,DAP
36,0,0,30.4,60.18,Cotton,28.18,Loamy,DAP
40,0,0,28.3,62.72,Wheat,42.06,Clayey,20-20
12,33,0,33.03,50.75,Sugarcane,42.07,Loamy,17-17-17
12,40,0,24.26,66.8,Barley,29.59,Loamy,17-17-17
40,4,1,36.13,61.57,Maize,35.14,Loamy,14-35-14
12,9,3,36.76,72.35,Paddy,33.65,Black,14-35-14
28,19,0,30.12,52.36,Barley,33.8,Sandy,28-28
18,9,0,22.16,43.31,Pulses,42.41,Red,14-35-14
8,6,0,32.65,68.89,Millets,29.69,Clayey,14-35-14
37,4,3,26.89,51.17,Sugarcane,70,Clayey,10-26-26
12,41,0,33.44,59.53,Cotton,70,Clayey,DAP
25,18,4,29.67,47.88,Ground Nuts,23.8,Red,10-26-26
13,11,1,25.12,50.56,Millets,52.48,Sandy,28-28
39,2,0,36.37,67.68,Tobacco,30.08,Loamy,17-17-17
16,10,0,29.06,68.31,Ground Nuts,52.37,Red,14-35-14
13,38,4,25.78,64.69,Barley,32.38,Loamy,28-28
17,29,2,30.4,55.27,Ground Nuts,41.63,Clayey,DAP
9,10,13,36,59.46,Wheat,52.35,Clayey,28-28
35,0,0,25.43,48.84,Pulses,35.9,Black,17-17-17
16,38,1,34.49,54.23,Sugarcane,21.17,Black,DAP
11,18,4,30.5,59.68,Wheat,35.22,Black,Urea
12,20,15,24.25,67.07,Tobacco,21.47,Loamy,17-17-17
44,0,4,35.42,65.57,Pulses,43.67,Clayey,17-17-17
10,33,2,30.41,64.96,Pulses,48.09,Black,DAP
15,13,15,27.52,42.91,Ground Nuts,21.12,Red,10-26-26
11,12,4,24.68,49.97,Barley,70,Loamy,DAP
7,10,10,29.32,64.15,Cotton,57.63,Black,28-28
17,12,10,31.83,55.75,Millets,46.33,Sandy,Urea
4,29,11,40,61.76,Cotton,49.42,Loamy,Urea
9,26,3,27.8,65.85,Wheat,31.27,Clayey,20-20
13,13,2,31.7,55.64,Maize,40.28,Sandy,17-17-17
10,32,2,29,65.07,Maize,70,Red,DAP
12,13,0,29.04,70.01,Barley,36.9,Black,DAP
7,14,17,27.98,42.2,Pulses,60.29,Clayey,20-20
12,35,0,35.17,73.71,Maize,70,Loamy,Urea
12,31,7,26.03,44.6,Cotton,30.68,Red,20-20
23,19,1,27.89,59.42,Tobacco,32.46,Sandy,14-35-14
34,0,0,38.67,65.53,Oil seeds,64.36,Black,DAP
17,17,0,24.54,46.43,Ground Nuts,32.67,Black,28-28
10,37,3,32.82,66.47,Ground Nuts,59.62,Red,10-26-26
14,12,18,24.05,56.01,Sugarcane,29.3,Red,10-26-26
6,39,0,32.67,66.98,Cotton,67.27,Loamy,Urea
8,11,2,31.25,49.31,Ground Nuts,59.62,Sandy,28-28
8,4,0,21.28,54.65,Cotton,57.82,Clayey,28-28
6,10,9,33.5,71.43,Tobacco,63.29,Clayey,14-35-14
7,25,5,30.14,74.53,Paddy,67.61,Black,17-17-17
13,39,0,28.38,62.44,Wheat,55.9,Black,20-20
18,36,4,40,53.38,Barley,44.17,Black,20-20
16,14,0,30.51,56.56,Ground Nuts,31.01,Sandy,10-26-26
17,23,0,29.85,60.19,Millets,51.81,Black,DAP
13,39,3,27.57,58.96,Wheat,56.6,Red,DAP
21,26,0,31.19,60.99,Pulses,46.6,Red,Urea
19,21,4,26.57,53.43,Ground Nuts,43.69,Clayey,28-28
21,20,0,21.45,47.54,Tobacco,35.03,Red,17-17-17
4,27,10,25.87,64.11,Wheat,67.58,Loamy,Urea
37,3,0,23.29,59.14,Maize,42.14,Red,17-17-17
38,1,4,24.68,58.73,Millets,43.06,Sandy,DAP
5,19,12,33.95,62.48,Pulses,20.64,Black,17-17-17
7,10,4,26.33,59.59,Cotton,55.24,Black,Urea
8,25,10,40,68.68,Ground Nuts,34.13,Sandy,28-28
6,37,3,27.62,67.62,Barley,64.74,Red,10-26-26
9,33,4,27.96,53.07,Pulses,59.54,Clayey,17-17-17
12,13,16,26.49,61.97,Ground Nuts,42.04,Clayey,DAP
12,36,0,29.25,62,Barley,55.15,Clayey,10-26-26
6,15,9,23.74,55.81,Pulses,61.5,Loamy,DAP
32,0,0,25.85,48.14,Maize,39.33,Loamy,Urea
12,11,15,30.07,59.72,Pulses,61.15,Clayey,DAP
10,40,0,30.02,55.06,Wheat,30.59,Red,17-17-17
16,12,0,21.68,57.86,Pulses,23.08,Red,Urea
5,17,18,20.42,53.57,Cotton,38.87,Loamy,20-20
33,0,0,32.8,65.87,Barley,49.94,Clayey,14-35-14
8,32,0,33.34,61.94,Sugarcane,32.31,Black,17-17-17
6,14,16,31.25,68.53,Oil seeds,66.94,Red,28-28
38,0,0,37.61,64.57,Pulses,34.12,Clayey,Urea
8,30,12,34.15,68.11,Pulses,46.5,Clayey,28-28
41,2,0,27.67,59.9,Cotton,26.38,Black,Urea
38,0,0,22.34,45.29,Millets,39.49,Loamy,10-26-26
6,6,0,21.07,60.95,Millets,61.29,Clayey,20-20
2,24,15,27.82,57.43,Cotton,30.84,Loamy,DAP
9,37,3,23.11,49.15,Cotton,32.6,Black,17-17-17
11,13,0,24,49.02,Sugarcane,37.37,Clayey,DAP
39,4,0,29.13,43.28,Sugarcane,36.14,Black,14-35-14
37,4,0,23.46,50.44,Cotton,24.32,Black,14-35-14
12,34,3,28.08,52.69,Ground Nuts,32.35,Clayey,17-17-17
11,39,0,21.29,54.85,Millets,26.51,Sandy,17-17-17
31,0,0,28.54,49.45,Millets,46.17,Red,10-26-26
36,1,0,31.21,60.48,Oil seeds,37.27,Clayey,14-35-14
19,28,3,22.97,44.59,Barley,43.69,Clayey,28-28
9,38,0,27.52,52.42,Maize,36.15,Red,DAP
2,20,15,26.76,43.31,Oil seeds,43.64,Red,20-20
7,8,12,30.57,64.68,Wheat,51.73,Clayey,DAP
4,27,4,37.11,77.37,Cotton,42.03,Clayey,DAP
21,23,0,34.97,72.4,Wheat,57.83,Loamy,DAP
16,12,0,32.85,69.09,Ground Nuts,29.04,Black,14-35-14
8,34,2,24.33,66.27,Ground Nuts,70,Black,20-20
38,1,1,23.84,60.67,Pulses,36.47,Sandy,DAP
41,4,3,35.36,64.36,Wheat,36.49,Loamy,DAP
11,38,0,27.09,62.94,Wheat,50.51,Red,DAP
38,0,1,25.2,48.23,Ground Nuts,41.84,Black,20-20
41,2,4,23.98,52.41,Ground Nuts,24.26,Loamy,17-17-17
42,3,1,32.12,57.29,Millets,40.78,Sandy,DAP
26,22,0,28.29,57.33,Cotton,52.55,Clayey,28-28
14,45,1,27.8,44.81,Sugarcane,22.17,Red,17-17-17
4,25,9,35.41,69.11,Sugarcane,70,Clayey,10-26-26
10,12,10,34.46,74.6,Oil seeds,45.35,Red,DAP
10,4,0,26.25,69.57,Tobacco,37.25,Red,28-28
11,36,0,40,76.34,Oil seeds,22.1,Black,20-20
10,9,0,29.5,50.06,Pulses,63.05,Clayey,20-20
26,22,3,27.13,43.23,Paddy,35.28,Red,14-35-14
22,21,4,28.99,66.71,Paddy,43.03,Clayey,DAP
16,36,3,25.14,46.88,Cotton,28.19,Loamy,DAP
7,25,10,27.79,62.14,Sugarcane,30.06,Red,10-26-26
10,41,2,33.41,67.81,Ground Nuts,41.34,Loamy,20-20
12,29,6,25.2,44.1,Oil seeds,46.96,Red,DAP
18,33,4,34.19,56.72,Tobacco,63.64,Clayey,20-20
5,34,4,37.3,68.57,Pulses,44.84,Black,DAP
22,27,4,31.78,59.11,Pulses,44.18,Black,Urea
35,0,0,32.11,71.08,Barley,29.01,Sandy,10-26-26
39,3,0,36.82,57.69,Barley,30.19,Red,28-28
16,8,0,25.12,64.48,Wheat,52.92,Sandy,14-35-14
14,35,0,31.33,72.92,Tobacco,35.31,Red,17-17-17
42,0,0,29.93,55.77,Tobacco,48.12,Clayey,10-26-26
38,0,2,32.68,58.16,Paddy,41.4,Loamy,20-20
14,6,0,28.17,50.1,Cotton,57.67,Sandy,17-17-17
10,37,0,35.81,76.09,Paddy,24.48,Red,DAP
12,24,3,38.04,62.28,Pulses,44.38,Clayey,Urea
8,16,0,31.55,53.02,Cotton,39.4,Clayey,Urea
38,0,0,29.14,59.77,Barley,42.79,Clayey,10-26-26
37,3,0,34.31,63.01,Tobacco,44.96,Black,DAP
43,2,1,27.54,58.58,Tobacco,30.71,Black,DAP
38,0,0,27.92,52.23,Tobacco,46.52,Sandy,28-28
32,0,3,24.6,51.17,Wheat,29.76,Clayey,17-17-17
11,14,16,28.87,57.65,Barley,56.9,Black,28-28
10,30,12,28.85,58.79,Cotton,66.37,Sandy,10-26-26
13,38,0,33.72,61.76,Maize,45.98,Clayey,10-26-26
40,4,0,30.63,60.56,Maize,22.33,Black,Urea
38,2,0,27.05,50.1,Maize,30.22,Sandy,14-35-14
37,0,0,22.79,59.47,Millets,28.56,Sandy,10-26-26
14,11,18,38.77,55.67,Paddy,55.59,Clayey,DAP
14,17,10,28.8,49.98,Sugarcane,58.83,Black,20-20
12,15,15,27.76,65.79,Ground Nuts,45.56,Loamy,14-35-14
18,10,17,22.48,53.68,Millets,29.96,Clayey,10-26-26
45,3,1,32.73,55.44,Ground Nuts,47.85,Clayey,10-26-26
19,13,13,24.2,41.69,Ground Nuts,33.6,Red,10-26-26
12,41,2,30.17,59.06,Cotton,40.76,Loamy,14-35-14
10,24,11,40,67.75,Barley,57.85,Loamy,DAP
41,0,1,38.33,58.9,Cotton,40.27,Clayey,14-35-14
11,32,14,26.86,46.9,Wheat,28.95,Clayey,10-26-26
36,0,3,25.56,61.54,Tobacco,26.89,Sandy,28-28
33,0,0,26.54,45.74,Tobacco,70,Red,14-35-14
7,18,0,29.36,52.93,Oil seeds,54.82,Red,DAP
6,17,16,24.44,46.56,Ground Nuts,30.45,Red,20-20
0,18,15,27.95,69.26,Ground Nuts,31.79,Red,10-26-26
6,11,0,37.22,64.38,Tobacco,63.58,Red,DAP
11,8,0,30.57,47.43,Ground Nuts,58.26,Sandy,20-20
9,9,3,24.1,63.6,Sugarcane,25.87,Clayey,14-35-14
13,41,1,37.79,62.57,Sugarcane,61.86,Clayey,20-20
26,19,0,30.33,55.01,Tobacco,27.78,Loamy,20-20
12,12,19,28.18,65.54,Millets,54.63,Clayey,Urea
30,0,0,24.23,58.48,Tobacco,50.97,Red,14-35-14
13,36,0,31.35,68.81,Oil seeds,41.39,Black,20-20
13,40,0,35.83,76.88,Sugarcane,66.33,Red,14-35-14
10,13,3,33.04,56.04,Maize,63.33,Black,Urea
37,0,3,36.49,74.83,Sugarcane,63.59,Red,28-28
6,15,2,30.11,48.12,Maize,54.43,Red,28-28
20,18,4,20.3,44.44,Pulses,41.86,Loamy,14-35-14
39,0,4,32.82,65.38,Ground Nuts,24.04,Red,28-28
10,14,0,32.87,59.11,Sugarcane,59.71,Clayey,Urea
15,17,9,30.81,51.96,Millets,35.61,Loamy,20-20
6,30,6,38.65,71.63,Tobacco,59.06,Sandy,20-20
18,32,2,32.86,68.29,Maize,37.77,Black,Urea
9,11,17,22.72,50.47,Sugarcane,51.87,Black,DAP
5,33,7,27.14,58.79,Tobacco,66.42,Sandy,DAP
43,3,0,32.33,74.41,Ground Nuts,49.11,Loamy,14-35-14
33,0,0,31.57,59.49,Wheat,44.41,Loamy,10-26-26
24,17,0,33.92,70.37,Cotton,55.46,Sandy,17-17-17
30,0,1,23.64,54.21,Barley,33.68,Clayey,Urea
8,26,10,26.46,60.34,Tobacco,48.97,Red,DAP
14,13,2,35.48,68.25,Wheat,34.7,Clayey,14-35-14
43,0,0,40,80,Tobacco,56.82,Red,10-26-26
7,11,0,29.3,44.76,Paddy,52.52,Red,17-17-17
10,15,11,31.85,56.67,Sugarcane,68.54,Sandy,10-26-26
9,17,4,37.34,56.16,Ground Nuts,66.28,Loamy,DAP
11,28,10,39.21,74.83,Wheat,33.14,Sandy,14-35-14
9,36,1,35.11,67.52,Paddy,40.53,Black,DAP
20,22,1,30.26,42.39,Wheat,34,Black,28-28
40,0,0,27.72,47.55,Wheat,65.62,Sandy,17-17-17
10,11,2,37.43,61.49,Pulses,29.07,Red,28-28
12,31,3,39.16,75.73,Sugarcane,34.03,Black,14-35-14
12,13,17,29.62,57.58,Pulses,56.91,Clayey,28-28
8,8,0,32.11,68.19,Paddy,40.77,Clayey,DAP
11,14,11,33.45,64.37,Millets,58.6,Loamy,14-35-14
36,0,0,32.97,58.85,Paddy,60.26,Black,20-20
8,42,1,34.98,59.82,Millets,34.18,Loamy,DAP
8,10,10,23.6,46.17,Cotton,50.36,Red,14-35-14
39,2,2,28.85,45.61,Millets,27.28,Clayey,DAP
37,0,3,24.76,45.87,Tobacco,45.72,Clayey,28-28
23,22,0,38.26,65.76,Pulses,29.84,Black,DAP
35,0,0,36.67,66.99,Pulses,57.65,Clayey,Urea
10,39,1,32.15,59.62,Wheat,52.44,Red,28-28
9,28,9,40,71.5,Tobacco,35.55,Loamy,10-26-26
9,42,4,31.55,52.46,Sugarcane,20,Sandy,17-17-17
25,20,3,25.85,47.66,Ground Nuts,44.43,Clayey,10-26-26
45,0,0,29.09,53.7,Sugarcane,30.89,Red,Urea
22,15,1,35.09,73.25,Paddy,64.96,Red,20-20
26,23,0,36.28,57.76,Pulses,50.83,Clayey,10-26-26
15,10,2,31.96,62.45,Tobacco,49.67,Sandy,Urea
22,22,0,36.03,68.01,Barley,34.95,Red,20-20
14,34,0,31.63,56.04,Oil seeds,35.55,Red,28-28
10,36,0,37.72,53.18,Millets,50.18,Red,Urea
12,11,13,34.19,58.06,Paddy,70,Loamy,10-26-26
19,22,0,24.85,44.22,Ground Nuts,44.43,Black,10-26-26
28,21,4,26.79,51.89,Maize,45.51,Sandy,14-35-14
7,31,8,28.9,48.82,Tobacco,25.28,Red,28-28
13,33,1,32.48,55.58,Oil seeds,37.82,Loamy,20-20
12,35,4,29.28,54.11,Sugarcane,33.43,Loamy,Urea
5,33,10,23.96,52.37,Maize,25.81,Sandy,DAP
33,4,0,36.64,64.68,Wheat,42.16,Black,Urea
34,1,0,26.37,60.29,Millets,50.88,Black,14-35-14
13,34,1,33.21,79.62,Barley,35.61,Loamy,Urea
9,38,0,34.78,55.26,Ground Nuts,29.66,Black,10-26-26
41,0,1,31.53,61.06,Ground Nuts,40.48,Black,28-28
11,45,2,26.71,49.27,Ground Nuts,30.54,Sandy,28-28
15,41,0,30.89,66.92,Oil seeds,30.15,Black,28-28
7,32,10,25.99,57.23,Ground Nuts,60.76,Sandy,20-20
10,39,0,35.33,63.38,Oil seeds,24.82,Sandy,17-17-17
17,36,0,32.14,67.16,Sugarcane,57.06,Clayey,10-26-26
11,32,0,26.59,52.74,Tobacco,51.85,Clayey,28-28
9,6,0,29.09,65.94,Paddy,42.43,Loamy,20-20
9,28,7,33.4,72.33,Tobacco,23.7,Red,10-26-26
27,28,0,24.53,59.27,Sugarcane,42.34,Clayey,28-28
7,9,0,37.56,61.34,Sugarcane,62.16,Black,10-26-26
12,30,1,24.83,54.28,Maize,62.54,Clayey,10-26-26
15,17,0,29.19,47.17,Ground Nuts,37.7,Black,20-20
20,28,0,35.36,66.71,Wheat,31.57,Sandy,Urea
13,34,4,32.94,58.58,Barley,52.48,Red,10-26-26
9,33,7,39.46,69.85,Sugarcane,20,Red,Urea
2,15,12,29.13,62.34,Wheat,26.54,Red,17-17-17
5,34,0,39.89,68.39,Paddy,50.49,Black,20-20
38,0,0,23.49,45.84,Wheat,58.18,Clayey,Urea
14,11,0,30.68,63.25,Paddy,46.38,Black,14-35-14
23,15,1,24.41,56.8,Cotton,34.97,Sandy,14-35-14
35,0,0,33.88,80,Oil seeds,54.46,Black,10-26-26
16,10,18,27.17,69.52,Maize,47.69,Sandy,17-17-17
12,31,0,35.51,72.18,Maize,36.2,Loamy,DAP
6,32,12,32.08,55.08,Ground Nuts,52.81,Red,DAP
38,0,0,35.09,72.5,Barley,46.73,Sandy,DAP
39,0,0,29.74,48.18,Tobacco,62.44,Black,14-35-14
3,27,12,28.54,63.37,Sugarcane,52.98,Clayey,17-17-17
9,14,0,33.65,60.55,Tobacco,62.52,Black,Urea
16,11,0,31.89,59.31,Millets,30.26,Red,28-28
20,20,3,27.42,62.06,Maize,43.64,Clayey,17-17-17
25,23,0,34.32,59.44,Cotton,33.94,Loamy,DAP
21,23,1,26.61,43.26,Cotton,46.1,Clayey,20-20
41,1,0,32.76,48.27,Millets,44.77,Clayey,10-26-26
9,34,0,29.58,56.08,Cotton,67.27,Red,10-26-26
11,13,19,35.14,58.65,Pulses,43.04,Sandy,14-35-14
16,39,0,29.99,52.36,Pulses,48.22,Black,17-17-17
12,26,3,24.71,53,Millets,33.7,Sandy,14-35-14
16,36,1,37.83,62.2,Sugarcane,38.9,Red,DAP
39,2,2,29.62,67.51,Wheat,41.82,Clayey,28-28
16,39,2,24.59,58.67,Cotton,52.83,Sandy,Urea
11,10,2,38.92,59.35,Cotton,41.61,Clayey,28-28
44,0,0,24.95,54.7,Wheat,25.03,Sandy,DAP
12,35,0,34.84,66.6,Ground Nuts,26.52,Red,17-17-17
8,11,13,24.75,49.42,Cotton,45.06,Clayey,20-20
9,15,9,34.76,66.83,Wheat,47.24,Clayey,DAP
3,30,5,34.36,59.48,Maize,61.29,Sandy,14-35-14
6,33,5,33.1,52.18,Wheat,63.48,Red,20-20
26,17,0,22.53,60.17,Pulses,52.65,Loamy,14-35-14
34,0,0,33.29,57.7,Millets,37.44,Black,Urea
10,38,0,26.95,62.85,Oil seeds,63.53,Clayey,Urea
14,16,1,28.76,54.72,Wheat,37.74,Red,DAP
10,12,18,26.27,49.13,Ground Nuts,21.16,Sandy,28-28
38,1,0,31.58,66.26,Paddy,59.62,Sandy,DAP
37,0,1,25.22,60.2,Tobacco,52.04,Clayey,14-35-14
8,20,19,33.11,71.83,Paddy,57.15,Loamy,17-17-17
10,6,0,29.94,62.39,Tobacco,35.14,Red,10-26-26
27,20,2,25.72,60.71,Wheat,43.46,Clayey,28-28
12,30,11,29.16,50.01,Maize,56.58,Clayey,14-35-14
8,17,0,40,74.03,Paddy,39.34,Loamy,10-26-26
37,0,3,27.65,55.35,Pulses,34.36,Black,14-35-14
4,28,4,29.72,71.91,Tobacco,52.5,Red,Urea
13,10,0,28.03,53.76,Wheat,60.86,Sandy,Urea
25,19,0,29.86,59.28,Maize,62.62,Sandy,20-20
38,0,1,32.86,62.77,Oil seeds,31.22,Red,10-26-26
15,39,4,23.9,44.45,Barley,32.53,Red,10-26-26
27,19,0,30.2,57.56,Wheat,52.01,Loamy,17-17-17
18,17,3,26.86,61.34,Oil seeds,45.62,Black,10-26-26
22,22,3,21.51,55.9,Maize,45.54,Clayey,28-28
10,40,0,28.78,66.87,Millets,49.42,Clayey,10-26-26
